,,,freq,level
,,,19481.92929,-61.3897
,,,19506.58996,-60.5897
,,,19531.25063,-64.5897
,,,19555.9113,-66.9897
,,,19580.57197,-66.9897
,,,19605.23264,-66.9897
,,,19629.89331,-66.9897
,,,19654.55398,-66.9897
,,,19679.21465,-57.7897
,,,19703.87532,-60.5897
,,,19728.53599,-58.5897
,,,19753.19666,-64.5897
,,,19777.85733,-64.5897
,,,19802.518,-66.9897
,,,19827.17867,-66.9897
,,,19851.83934,-66.9897
,,,19876.50001,-66.9897
,,,19901.16068,-66.9897
,,,19925.82135,-61.3897
,,,19950.48202,-66.9897
,,,19975.14269,-64.5897
,,,19999.80336,-61.3897
,,,20024.46403,-66.9897
,,,20049.1247,-66.9897
,,,20073.78537,-66.9897
,,,20098.44604,-66.9897
,,,20123.10671,-66.9897
,,,20147.76738,-66.9897
,,,20172.42805,-66.9897
,,,20197.08872,-66.9897
,,,20221.74939,-66.9897
,,,20246.41006,-66.9897
,,,20271.07073,-66.9897
,,,20295.7314,-60.5897
,,,20320.39207,-66.9897
,,,20345.05274,-64.5897
,,,20369.71341,-66.9897
,,,20394.37408,-66.9897
,,,20419.03475,-66.9897
,,,20443.69542,-66.9897
,,,20468.35609,-66.9897
,,,20493.01676,-66.9897
,,,20517.67743,-66.9897
,,,20542.3381,-66.9897
,,,20566.99877,-66.9897
,,,20591.65944,-66.9897
,,,20616.32011,-66.9897
,,,20640.98078,-66.9897
,,,20665.64145,-66.9897
,,,20690.30212,-66.9897
,,,20714.96279,-64.5897
,,,20739.62346,-61.3897
,,,20764.28413,-60.5897
,,,20788.9448,-66.9897
,,,20813.60547,-66.9897
,,,20838.26614,-64.5897
,,,20862.92681,-60.5897
,,,20887.58748,-64.5897
,,,20912.24815,-66.9897
,,,20936.90882,-66.9897
,,,20961.56949,-66.9897
,,,20986.23016,-66.9897
,,,21010.89083,-66.9897
,,,21035.5515,-66.9897
,,,21060.21217,-64.5897
,,,21084.87284,-66.9897
,,,21109.53351,-66.9897
,,,21134.19418,-66.9897
,,,21158.85485,-66.9897
,,,21183.51552,-64.5897
,,,21208.17619,-61.3897
,,,21232.83686,-66.9897
,,,21257.49753,-66.9897
,,,21282.1582,-64.5897
,,,21306.81887,-60.5897
,,,21331.47954,-64.5897
,,,21356.14021,-66.9897
,,,21380.80088,-66.9897
,,,21405.46155,-66.9897
,,,21430.12222,-64.5897
,,,21454.78289,-66.9897
,,,21479.44356,-64.5897
,,,21504.10423,-64.5897
,,,21528.7649,-60.5897
,,,21553.42557,-66.9897
,,,21578.08624,-64.5897
,,,21602.74691,-66.9897
,,,21627.40758,-66.9897
,,,21652.06825,-66.9897
,,,21676.72892,-66.9897
,,,21701.38959,-66.9897
,,,21726.05026,-66.9897
,,,21750.71093,-64.5897
,,,21775.3716,-66.9897
,,,21800.03227,-66.9897
,,,21824.69294,-66.9897
,,,21849.35361,-66.9897
,,,21874.01428,-66.9897
,,,21898.67495,-66.9897
,,,21923.33562,-64.5897
,,,21947.99629,-60.5897
,,,21972.65696,-64.5897
,,,21997.31763,-64.5897
,,,22021.9783,-64.5897
,,,22046.63897,-66.9897
,,,22071.29964,-66.9897
,,,22095.96031,-66.9897
,,,22120.62098,-66.9897
,,,22145.28165,-64.5897
,,,22169.94232,-64.5897
,,,22194.60299,-64.5897
,,,22219.26366,-66.9897
,,,22243.92433,-66.9897
,,,22268.585,-66.9897
,,,22293.24567,-64.5897
,,,22317.90634,-64.5897
,,,22342.56701,-61.3897
,,,22367.22768,-66.9897
,,,22391.88835,-66.9897
,,,22416.54902,-66.9897
,,,22441.20969,-66.9897
,,,22465.87036,-64.5897
,,,22490.53103,-66.9897
,,,22515.1917,-66.9897
,,,22539.85237,-66.9897
,,,22564.51304,-60.5897
,,,22589.17371,-60.5897
,,,22613.83438,-64.5897
,,,22638.49505,-64.5897
,,,22663.15572,-66.9897
,,,22687.81639,-66.9897
,,,22712.47706,-66.9897
,,,22737.13773,-66.9897
,,,22761.7984,-66.9897
